GRS ID,Record Title,Classification (General),Legal Citation,Disposition,Retention (Years),Retention Type,Event Type (General),Longer Retention Authorized?,Deviations Allowed?,Full Disposition Instruction,Disposition Authority,Superseded by,Last Updated,Comments
GRS_1.2.020,Grant and cooperative agreement case files - Successful applications,Grants & Cooperative Agreement Management,"31 U.S.C. 3731(b), False Claims Act",Temporary,10,Event_Age,Final action,Yes,Yes,"Destroy 10 years after final action is taken on file, but longer retention is authorized if required for business use.",DAA-GRS-2013-0008-0001,,21-Dec,
GRS_1.2.021,Grant and cooperative agreement case files - Unsuccessful applications,Grants & Cooperative Agreement Management,"31 U.S.C. 3731(b), False Claims Act",Temporary,3,Event_Age,Final action,Yes,Yes,"Destroy 3 years after final action is taken on file, but longer retention is authorized if required for business use.",DAA-GRS-2013-0008-0006,,21-Dec,
GRS_1.2.022,Grant and cooperative agreement case files - All other copies,Grants & Cooperative Agreement Management,"31 U.S.C. 3731(b), False Claims Act",Temporary,0,Event_Age,No longer needed,N/A,Yes,Destroy when business use ceases.,DAA-GRS-2013-0008-0002 ,,21-Dec,
GRS_1.2.030,Final grant and cooperative agreement products or deliverables,Grants & Cooperative Agreement Management,,Temporary,0,Event_Age,No longer needed,N/A,Yes,Destroy when business use ceases.,DAA-GRS-2013-0008-0003,,21-Dec,
GRS_1.3.010,"Budget formulation, estimates, justification, and submission records, fiscal year 2017 and forward",Budgeting,,Temporary,6,Event_Age,End of FY,Yes,Yes,"Destroy 6 years after close of fiscal year, but longer retention is authorized if required for business use.",DAA-GRS-2015-0006-0001,,21-Dec,
GRS_1.3.020,Budget execution records,Budgeting,,Temporary,6,Event_Age,End of FY,Yes,Yes,"Destroy 6 years after close of fiscal year, but longer retention is authorized if required for business use.",DAA-GRS-2015-0006-0002,,21-Dec,
GRS_1.3.030,Budget reports - Full fiscal-year reports,Budgeting,,Temporary,5,Creation_Age,,Yes,Yes,"Destroy when 5 years old, but longer retention is authorized if required for business use.",DAA-GRS-2015-0006-0003,,21-Dec,
GRS_1.3.031,Budget reports - All other reports,Budgeting,,Temporary,3,Creation_Age,,Yes,Yes,"Destroy when 3 years old, but longer retention is authorized if required for business use.",DAA-GRS-2015-0006-0004,,21-Dec,
GRS_1.3.040,"Budget preparation background records - Records held in office responsible for preparing
agency's budget proposal to the White House",Budgeting,,Temporary,2,Event_Age,End of FY,Yes,Yes,"Destroy 2 years after close of the fiscal year to which the records relate, but longer retention is authorized if required for business use.",DAA-GRS-2015-0006-0005,,21-Dec,
GRS_1.3.041,Budget preparation background records - Records held at all other offices,Budgeting,,Temporary,2,Creation_Age,,Yes,Yes,"Destroy when 2 years old, but longer retention is authorized if required for business use.",DAA-GRS-2015-0006-0006,,21-Dec,
GRS_1.3.050,Budget administration records,Budgeting,,Temporary,3,Creation_Age,,Yes,Yes,"Destroy when 3 years old, but longer retention is authorized if required for business use.",DAA-GRS-2015-0006-0007,,21-Dec,
GRS_2.1.010,Classification standards,Employee Acquisition,,Temporary,2,Event_Age,Superseded or obsolete,Yes,Yes,"Destroy 2 years after standard is superseded, canceled, or disapproved by OPM (as appropriate) but longer retention is authorized if required for business use.",DAA-GRS-2014-0002-0001,,21-Dec,
GRS_2.1.020,Position descriptions - Official record copy of position description,Employee Acquisition,,Temporary,2,Event_Age,Superseded or obsolete,Yes,Yes,"Destroy 2 years after position is abolished or description is superseded, but longer retention is authorized if required for business use.",DAA-GRS-2014-0002-0002,,21-Dec,
GRS_2.1.022,Position descriptions - All other related records. ,Employee Acquisition,,Temporary,0,Event_Age,Final action,Yes,Yes,"Destroy when position description is final, but longer retention is authorized if required for business use.",DAA-GRS-2014-0002-0003,,21-Dec,
GRS_2.1.030,Position reviews and classification appeals,Employee Acquisition,,Temporary,3,Event_Age,Final action,Yes,Yes,"Destroy 3 years after final decision, but longer retention is authorized if required for business use.",DAA-GRS-2014-0002-0004,,21-Dec,
GRS_2.1.040,Certificates of classification,Employee Acquisition,,Temporary,2,Event_Age,Superseded or obsolete,Yes,Yes,"Destroy 2 years after position is abolished or description is superseded, but longer retention is authorized if required for business use.",DAA-GRS-2014-0002-0005,,21-Dec,
GRS_2.1.050,Job vacancy case files - Records of onetime competitive and Senior Executive Service announcements/selections,Employee Acquisition,5 CFR 335.103,Temporary,2,Event_Age,Final action,No,Yes,Destroy 2 years after selection certificate is closed or final settlement of any associated litigation; whichever is later.,DAA-GRS-2017-0011-0001,,21-Dec,
GRS_2.1.051,Job vacancy case files - Records of standing register competitive files for multiple positions filled over a period of time,Employee Acquisition,5 CFR 335.103,Temporary,2,Event_Age,Final action,No,Yes,Destroy 2 years after termination of register.,DAA-GRS-2017-0011-0002,,21-Dec,
GRS_2.1.060,Job application packages,Employee Acquisition,,Temporary,1,Creation_Age,,No,Yes,Destroy 1 year after date of submission.,DAA-GRS-2014-0002-0011,,21-Dec,
GRS_2.1.070,Case files on lost or exposed job test materials,Employee Acquisition,,Temporary,5,Event_Age,Final action,No,Yes,Destroy 5 years after date of final report.,DAA-GRS-2014-0002-0012,,21-Dec,
GRS_2.1.080,Requests for non-competitive personnel action,Employee Acquisition,,Temporary,1,Event_Age,Final action,No,Yes,Destroy 1 year after approval is granted or denied.,DAA-GRS-2014-0002-0013,,21-Dec,
GRS_2.1.090,Interview records,Employee Acquisition,"5 CFR 335.103, 5 CFR 300.104",Temporary,2,Event_Age,Final action,No,Yes,"Destroy 2 years after case is closed by hire or non-selection, expiration of right to appeal a non-selection, or final settlement of any associated litigation, whichever is later.",DAA-GRS-2014-0002-0008,,21-Dec,
GRS_2.1.100,Political appointment (Schedule C) records - Records (except ethics pledges and waivers) related to appointees,Employee Acquisition,"5 CFR 213.3101, 3102, 3201, 3202, 3301, 3302, 3401, 3402",Temporary,0,Event_Age,Final action,Yes,Yes,Destroy after separation.  Retention up to end of administration under which individual was hired is authorized if required for business use.,DAA-GRS-2014-0002-0014,,21-Dec,
GRS_2.1.102,Political appointment (Schedule C) records - Records related to non-appointees,Employee Acquisition,"5 CFR 213.3101, 3102, 3201, 3202, 3301, 3302, 3401, 3402",Temporary,1,Event_Age,Final action,Yes,Yes,Destroy 1 year after consideration of the candidate ends.  Retention up to end of administration under which individual was considered is authorized if required for business use.,DAA-GRS-2014-0002-0015,,21-Dec,
GRS_2.1.110,"Excepted service appointment records - Case files that document appointing individuals with intellectual disabilities, severe physical disabilities, or psychiatric disabilities as defined in 5 CFR 213.3102(u)",Employee Acquisition,"5 CFR 213.3101, 3102, 3201, 3202, 3301, 3302, 3401, 3402",Temporary,5,Event_Age,Final action,No,Yes,"Destroy 5 years after candidate enters on duty, is no longer under consideration, or declines offer.",DAA-GRS-2014-0002-0018,,21-Dec,
GRS_2.1.111,Excepted service appointment records -  Case files related to all other appointees,Employee Acquisition,"5 CFR 213.3101, 3102, 3201, 3202, 3301, 3302, 3401, 3402",Temporary,2,Event_Age,Final action,No,Yes,"Destroy 2 years after candidate enters on duty, is no longer under consideration, or declines offer.",DAA-GRS-2014-0002-0019,,21-Dec,
GRS_2.1.120,Special hiring authority program records,Employee Acquisition,,Temporary,2,Event_Age,Final action,Yes,Yes,Destroy 2 years after hiring authority closes but longer retention is authorized if required for business use.,DAA-GRS-2014-0002-0016,,21-Dec,
GRS_2.1.130,Records related to individual employees hired under special temporary authority,Employee Acquisition,,Temporary,2,Event_Age,Final action,Yes,Yes,Destroy 2 years after employee is converted to a permanent position or leaves a program but longer retention is authorized if required for business use.,DAA-GRS-2014-0002-0017,,21-Dec,
GRS_2.1.142,Pre-appointment files - Records appropriate for inclusion in OPF - Records concerning prospective employees who do not enter on duty,Employee Acquisition,,Temporary,1,Event_Age,Final action,No,Yes,Destroy 1 year after prospective employee is no longer a candidate.,DAA-GRS-2014-0002-0009,,21-Dec,
GRS_2.1.143,Pre-appointment files - Copies of records included in Job vacancy case file (items 050 or 051),Employee Acquisition,,Temporary,0,Event_Age,Final action,No,Yes,"Destroy after prospective employee enters on duty, declines appointment, or is no longer a candidate.",DAA-GRS-2014-0002-0010,,21-Dec,
GRS_2.1.150,Records of delegation of authority for examination and certification,Employee Acquisition,,Temporary,3,Event_Age,Final action,Yes,Yes,Destroy 3 years after agreement terminates but longer retention is authorized if required for business use.,DAA-GRS-2014-0002-0021,,21-Dec,
GRS_2.1.160,Delegated authority audits,Employee Acquisition,,Temporary,3,Creation_Age,,Yes,Yes,Destroy when 3 years old but longer retention is authorized if required for business use.,DAA-GRS-2014-0002-0022,,21-Dec,
GRS_2.1.170,Adverse impact files - Records revealing no adverse impact,Employee Acquisition,,Temporary,3,Creation_Age,,Yes,Yes,"Destroy when 3 years old, but longer retention is authorized if required for business use.",DAA-GRS-2018-0008-0001 ,,21-Dec,
GRS_2.1.171,Adverse impact files - Records revealing an adverse impact,Employee Acquisition,29 CFR 1607.15A(2)(b),Temporary,2,Event_Age,Final action,Yes,Yes,"Destroy 2 years after eliminating the adverse impact, but longer retention is authorized if required for business use.",DAA-GRS-2018-0008-0002,,21-Dec,
GRS_2.1.180,Recruitment records,Employee Acquisition,,Temporary,1,Creation_Age,,Yes,Yes,"Destroy when 1 year old, but longer retention is authorized if required for business use.",DAA-GRS-2018-0008-0003 ,,21-Dec,
GRS_2.2.010,Employee management administrative records,Employee Management,,Temporary,3,Creation_Age,,Yes,Yes,"Destroy when 3 years old, but longer retention is authorized if required for business use.",DAA-GRS-2017-0007-0001,,21-Dec,
GRS_2.2.020,Workforce and succession planning records,Employee Management,,Temporary,3,Event_Age,Superseded or obsolete,Yes,Yes,"Destroy 3 years after issuing each new plan, but longer retention is authorized if required for business use.",DAA-GRS-2017-0007-0002,,21-Dec,
GRS_2.2.030,Employee incentive award records,Employee Management,,Temporary,N/A,N/A,N/A,Yes,Yes,"Destroy when 2 years old or 2 years after award is approved or disapproved, whichever is later, but longer retention is authorized if required for business use.",DAA-GRS-2017-0007-0003,,23-Jan,This item is not machine-implementable and will be revised.
GRS_2.2.040,Official Personnel Folder (OPF)/electronic OPF (eOPF) - Long-term records,Employee Management,,Temporary,N/A,N/A,N/A,Yes,Yes,"Destroy when survivor or retirement claims are adjudicated or when records are 129 years old, whichever is sooner, but longer retention is authorized if required for business use.",DAA-GRS-2017-0007-0004,,23-Jan,Only OPM and NPRC take disposal actions on these records. Agencies use an OPM system that houses the records and should not need to implement this disposition authority themselves.
GRS_2.2.041,Official Personnel Folder (OPF)/electronic OPF (eOPF) - Short-term records,Employee Management,,Temporary,0,Event_Age,Superseded or obsolete,No,Yes,"Destroy when superseded or obsolete, or upon separation or transfer of employee, whichever is earlier.",DAA-GRS-2017-0007-0005,,21-Dec,
GRS_2.2.050,Notifications of personnel actions,Employee Management,,Temporary,0,Event_Age,No longer needed,N/A,Yes,Destroy when business use ceases.,DAA-GRS-2017-0007-0006,,21-Dec,
GRS_2.2.060,Employment eligibility verification records,Employee Management,,Temporary,3,Event_Age,Final action,No,Yes,Destroy 3 years after employee separates from service or transfers to another agency.,DAA-GRS-2017-0007-0007,,21-Dec,
GRS_2.2.070,Employee performance file system records - Acceptable performance appraisals of non-senior executive service employees,Employee Management, 5 CFR Part 293.404,Temporary,4,Creation_Age,,Yes,Yes,"Destroy no sooner than 4 years after date of appraisal, but longer retention is authorized if required for business use.",DAA-GRS-2017-0007-0008,,21-Dec,
GRS_2.2.071,Employee performance file system records - Unacceptable performance appraisals of non-senior executive service employees,Employee Management,"5 U.S.C. section 4303(d), 5 CFR Part 293.404",Temporary,0,Event_Age,Final action,No,No,Destroy after employee completes 1 year of acceptable performance from the date of written advance notice of proposed removal or reduction-in-grade notice.  This disposition instruction is mandatory; deviations are not allowed.,DAA-GRS-2017-0007-0009,,21-Dec,
GRS_2.2.072,Employee performance file system records -  Records of senior executive service employees,Employee Management,5 CFR Part 293.404,Temporary,5,Creation_Age,,Yes,Yes,"Destroy no sooner than 5 years after date of appraisal, but longer retention is authorized if required for business use.",DAA-GRS-2017-0007-0010,,21-Dec,
GRS_2.2.073,"Employee performance file system records - Performance records superseded through an administrative, judicial, or quasi-judicial procedure",Employee Management,5 CFR Part 293.404,Temporary,0,Event_Age,Superseded or obsolete,No,No,Destroy when superseded.  This disposition instruction is mandatory; deviations are not allowed.,DAA-GRS-2017-0007-0011,,21-Dec,
GRS_2.2.080,Supervisors' personnel files,Employee Management,,Temporary,N/A,N/A,N/A,No,Yes,Review annually and destroy superseded documents.  Destroy remaining documents 1 year after employee separation or transfer.,DAA-GRS-2017-0007-0012,,23-Jan,This item is not machine-implementable and will be revised.
GRS_2.2.090,Records related to official passports - Application records,Employee Management,,Temporary,N/A,N/A,N/A,Yes,Yes,"Destroy when 3 years old or upon employee separation or transfer, whichever is sooner; but longer retention is authorized if required for business use.",DAA-GRS-2017-0007-0013,,23-Jan,This item is not machine-implementable and will be revised.
GRS_2.2.091,Records related to official passports - Official passport registers,Employee Management,,Temporary,0,Event_Age,Superseded or obsolete,No,Yes,Destroy when superseded or obsolete.,DAA-GRS-2017-0007-0014,,21-Dec,
GRS_2.2.100,Volunteer service program administrative records,Employee Management,,Temporary,3,Creation_Age,,Yes,Yes,"Destroy when 3 years old, but longer retention is authorized if required for business use.",DAA-GRS-2017-0007-0015,,21-Dec,
GRS_2.2.110,Volunteer service case files - Case files on volunteers,Employee Management,,Temporary,4,Event_Age,Final action,Yes,Yes,"Destroy 4 years after volunteer departs service, but longer retention is authorized if required for business use.",DAA-GRS-2017-0007-0016,,21-Dec,
GRS_2.2.111,Volunteer service case files - Case files on individuals whose applications were rejected or withdrawn,Employee Management,,Temporary,1,Creation_Age,,No,Yes,Destroy when 1 year old.,DAA-GRS-2017-0007-0017,,21-Dec,
GRS_2.2.120,Skill set records,Employee Management,,Temporary,0,Event_Age,No longer needed,N/A,Yes,Destroy when business use ceases.,DAA-GRS-2017-0007-0018,,21-Dec,
GRS_2.3.010,Employee relations programs’ administrative records,Employee Relations,,Temporary,3,Creation_Age,,Yes,Yes,"Destroy when 3 years old, but longer retention is authorized if required for business use.",DAA-GRS-2022-0001-0001,,23-Jan,01/2023 Revision: Disposition authority changed. See published schedule for more information.
GRS_2.3.020,Reasonable or religious accommodation case files,Employee Relations,,Temporary,3,Event_Age,Final action,Yes,Yes,"Destroy 3 years after employee separation from the agency or all appeals are concluded, whichever is later, but longer retention is authorized if required for business use.",DAA-GRS-2022-0001-0002,,23-Jan,01/2023 Revision: Disposition authority changed. See published schedule for more information.
GRS_2.3.030,Dislocated worker program case files,Employee Relations,,Temporary,1,Event_Age,Final action,Yes,Yes,"Destroy 1 year after employee eligibility for program expires, but longer retention is authorized if required for business use.",DAA-GRS-2018-0002-0003,,21-Dec,
GRS_2.3.040,Telework/alternate worksite program case files,Employee Relations,,Temporary,N/A,N/A,N/A,Yes,Yes,"Destroy when superseded or obsolete or 1 year after end of employee’s participation in program, whichever is sooner, but longer retention is authorized if required for business use.",DAA-GRS-2018-0002-0004,,23-Jan,This item is not machine-implementable and will be revised.
GRS_2.3.050,Harassment complaint case files,Employee Relations,,Temporary,7,Event_Age,Final action,Yes,Yes,"Destroy 7 years after close of case, but longer retention is authorized if required for business use.",DAA-GRS-2018-0002-0005,,21-Dec,
GRS_2.3.060,"Administrative grievance, disciplinary, performance-based, and adverse action case files",Employee Relations,,Temporary,7-Apr,Event_Age,Final action,No,Yes,"Destroy no sooner than 4 years but no later than 7 years (see Note 2) after case is closed or final settlement on appeal, as appropriate.",DAA-GRS-2018-0002-0006,,21-Dec,
GRS_2.3.070,Alternative Dispute Resolution (ADR) case files - Informal process,Employee Relations,,Temporary,3,Event_Age,Final action,Yes,Yes,"Destroy 3 years after case is closed, but longer disposition is authorized if required for business use.",DAA-GRS-2018-0002-0007,,21-Dec,
GRS_2.3.071,Alternative Dispute Resolution (ADR) case files - Formal process,Employee Relations,,Temporary,7,Event_Age,Final action,Yes,Yes,"Destroy 7 years after case is closed, but longer retention is authorized if required for business use.",DAA-GRS-2018-0002-0008,,21-Dec,
GRS_2.3.080,Merit Systems Protection Board (MSPB) case files,Employee Relations,,Temporary,3,Event_Age,Final action,Yes,Yes,"Destroy 3 years after final resolution of case, but longer retention is authorized if required for business use.",DAA-GRS-2018-0002-0009,,21-Dec,
GRS_2.3.090,Labor arbitration (negotiated grievance procedure) case records,Employee Relations,,Temporary,3,Event_Age,Final action,Yes,Yes,"Destroy 3 years after close of case, but longer retention is authorized if required for business use.",DAA-GRS-2018-0002-0010,,21-Dec,
GRS_2.3.100,Federal Labor Relations Authority (FLRA) case files,Employee Relations,,Temporary,3,Event_Age,Final action,Yes,Yes,"Destroy 3 years after final resolution of case, but longer retention is authorized if required for business use.",DAA-GRS-2018-0002-0011,,21-Dec,
GRS_2.3.110,EEO discrimination complaint case files - Informal process,Employee Relations,,Temporary,3,Event_Age,Final action,Yes,Yes,"Destroy 3 years after resolution of case, but longer retention is authorized if required for business use.",DAA-GRS-2018-0002-0012,,21-Dec,
GRS_2.3.111,EEO discrimination complaint case files - Formal process,Employee Relations,,Temporary,7,Event_Age,Final action,Yes,Yes,"Destroy 7 years after resolution of case, but longer retention is authorized if required for business use.",DAA-GRS-2018-0002-0013,,21-Dec,
GRS_2.3.120,Records documenting contractor compliance with EEO regulations,Employee Relations,,Temporary,7,Creation_Age,,Yes,Yes,"Destroy when 7 years old, but longer retention is authorized if required for business use.",DAA-GRS-2018-0002-0014,,21-Dec,
GRS_2.3.130,Labor management relations agreement negotiation records,Employee Relations,,Temporary,5,Event_Age,Final action,Yes,Yes,"Destroy 5 years after expiration of agreement or final resolution of case, as appropriate, but longer retention is authorized if required for business use.",DAA-GRS-2018-0002-0015,,21-Dec,
GRS_2.4.010,"Records used to calculate payroll, arrange paycheck deposit, and change previously issued paychecks",Employee Compensation and Benefits,,Temporary,3,Event_Age,Final action,Yes,Yes,"Destroy 3 years after paying agency or payroll processor validates data, but longer retention is authorized if required for business use.",DAA-GRS-2019-0004-0001,,21-Dec,
GRS_2.4.020,Tax withholding and adjustment documents,Employee Compensation and Benefits,"IRS Publication 15 (2015), (Circular E), Employer's Tax Guide, section on Recordkeeping",Temporary,4,Event_Age,Superseded or obsolete,Yes,Yes,"Destroy 4 years after superseded or obsolete, but longer retention is authorized if required for business use.",DAA-GRS-2016-0015-0002,,21-Dec,
GRS_2.4.030,Time and attendance records,Employee Compensation and Benefits,29 CFR 516.5a,Temporary,3,Creation_Age,,Yes,Yes,"Destroy when 3 years old, but longer retention is authorized if required for business use.",DAA-GRS-2019-0004-0002,,21-Dec,
GRS_2.4.035,Phased-retirement employees' overtime documentation,Employee Compensation and Benefits,"5 CFR 831.1715, section 4",Temporary,6,Creation_Age,,Yes,Yes,"Destroy when 6 years old, but longer retention is authorized if required for business use.",DAA-GRS-2018-0001-0001,,22-Mar,
GRS_2.4.040,Agency payroll record for each pay period,Employee Compensation and Benefits,5 U.S.C. 8466,Temporary,56,Creation_Age,,No,Yes,Destroy when 56 years old.,DAA-GRS-2016-0015-0004,,21-Dec,
GRS_2.4.050,Wage and tax statements,Employee Compensation and Benefits,"Form W-3, Purpose of Form section
IRS Publication 15 (2014), (Circular E), Employer's Tax Guide, section on Recordkeeping (copies of returns filed and confirmation numbers)",Temporary,4,Creation_Age,,Yes,Yes,"Destroy when 4 years old, but longer retention is authorized if required for business use.",DAA-GRS-2016-0015-0005,,21-Dec,
GRS_2.4.060,"Payroll program administrative records - Administrative correspondence between agency and payroll processor, and system reports used for agency workload and or personnel management purposes",Employee Compensation and Benefits,,Temporary,2,Creation_Age,,Yes,Yes,"Destroy when 2 years old, but longer retention is authorized if required for business use.",DAA-GRS-2016-0015-0006,,21-Dec,
GRS_2.4.061,Payroll program administrative records - Payroll system reports providing fiscal information on agency payroll,Employee Compensation and Benefits,,Temporary,N/A,N/A,N/A,Yes,Yes,"Destroy when 3 years old or after GAO audit, whichever comes sooner, but longer retention is authorized if required for business use.",DAA-GRS-2016-0015-0007,,23-Jan,This item is not machine-implementable and will be revised.
GRS_2.4.070,Donated leave program administrative records ,Employee Compensation and Benefits,,Temporary,3,Creation_Age,,Yes,Yes,"Destroy when 3 years old, but longer retention is authorized if required for business use.",DAA-GRS-2016-0015-0008,,21-Dec,
GRS_2.4.071,Donated leave program individual case files,Employee Compensation and Benefits,,Temporary,1,Event_Age,Final action,Yes,Yes,"Destroy 1 year after the employee receiving leave is no longer participating in the program, but longer retention is authorized if required for business use.",DAA-GRS-2016-0015-0009,,21-Dec,
GRS_2.4.080,Wage survey files,Employee Compensation and Benefits,,Temporary,N/A,N/A,N/A,Yes,Yes,"Destroy after completing second succeeding survey in the specific wage area (i.e., retain records of the two most recently completed surveys), but longer retention is authorized if required for business use.",DAA-GRS-2016-0015-0010,,23-Jan,This item is not machine-implementable and will be revised.
GRS_2.4.090,Incentive package records,Employee Compensation and Benefits,,Temporary,3,Event_Age,Final action,Yes,Yes,"Destroy 3 years after date of approval,   completion of service agreement, or termination of incentive or differential payment, whichever is later, but longer retention is authorized if required for business use.",DAA-GRS-2016-0015-0011,,21-Dec,
GRS_2.4.100,Workers' Compensation (personnel injury compensation) records - Records of agencies that forward case file material to DOL for retention in DOL's master OWCP records,Employee Compensation and Benefits,,Temporary,N/A,N/A,N/A,No,Yes,Destroy 3 years after compensation ceases or when deadline for filing a claim has passed.,DAA-GRS-2016-0015-0012,,23-Jan,This item is not machine-implementable and will be revised.
GRS_2.4.101,Workers' Compensation (personnel injury compensation) records - Records of agencies that do not forward case file material to DOL for retention in DOL's master OWCP records,Employee Compensation and Benefits,,Temporary,N/A,N/A,N/A,No,Yes,Destroy 15 years after compensation ceases or when deadline for filing a claim has passed.,DAA-GRS-2016-0015-0013,,23-Jan,This item is not machine-implementable and will be revised.
GRS_2.4.111,Requests for health benefits under spouse equity - Denied applications,Employee Compensation and Benefits,,Temporary,1,Event_Age,Final action,No,Yes,"Destroy 1 year after original denial, denial of appeal, or final court order, whichever is appropriate.",DAA-GRS-2016-0015-0014,,21-Dec,
GRS_2.4.120,Child care subsidy program administrative records,Employee Compensation and Benefits,,Temporary,3,Creation_Age,,Yes,Yes,"Destroy when 3 years old, but longer retention is authorized if required for business use.",DAA-GRS-2016-0015-0015,,21-Dec,
GRS_2.4.121,Child care subsidy program individual case files,Employee Compensation and Benefits,,Temporary,2,Event_Age,Final action,Yes,Yes,"Destroy 2 years after employee participation concludes, but longer retention is authorized if required for business use.",DAA-GRS-2016-0015-0016,,21-Dec,
GRS_2.4.130,Transportation subsidy program administrative records,Employee Compensation and Benefits,,Temporary,3,Creation_Age,,Yes,Yes,"Destroy when 3 years old, but longer retention is authorized if required for business use.",DAA-GRS-2016-0015-0017,,21-Dec,
GRS_2.4.131,Transportation subsidy program individual case files,Employee Compensation and Benefits,,Temporary,2,Event_Age,Final action,Yes,Yes,"Destroy 2 years after employee participation concludes, but longer retention is authorized if required for business use.",DAA-GRS-2016-0015-0018,,21-Dec,
GRS_2.4.140,Family Medical Leave Act program administrative records,Employee Compensation and Benefits,29 CFR 825.500,Temporary,3,Event_Age,Superseded or obsolete,Yes,Yes,"Destroy 3 years after superseded or obsolete, but longer retention is authorized if required for business use.",DAA-GRS-2016-0015-0019,,21-Dec,
GRS_2.4.141,Family Medical Leave Act program individual case files,Employee Compensation and Benefits,29 CFR 825.500,Temporary,3,Event_Age,Final action,Yes,Yes,"Destroy 3 years after conclusion of leave being taken, but longer retention is authorized if required for business use.",DAA-GRS-2016-0015-0020,,21-Dec,
GRS_2.5.010,Separation program management records - Records not specific to an agency separation initiative,Employee Separation,,Temporary,0,Event_Age,No longer needed,N/A,Yes,Destroy when no longer required for business use.,DAA-GRS-2014-0004-0001,,21-Dec,
